date,player,session_type,duration,total_distance_m,running_m,HSR_m,sprint_m,HI_m,acc_cnt,dec_cnt,high_acc_cnt,high_dec_cnt,player_load
2024-09-28,Jason Momoa,OFFICIAL MATCH,01:39:00,10171,1642,360,290,651,372,389,34,7,549.0215985948803
2025-04-15,Robert Downey Jr.,FULL TRAINING,01:21:00,4692,745,291,8,299,281,210,9,57,408.562834478873
2025-05-10,Justin Timberlake,OFFICIAL MATCH,01:21:00,9160,1944,615,123,739,707,637,61,25,1349.0097778536235
2024.12.13,Leonardo DiCaprio,FULL TRAINING,00:32:00,5974,477,379,364,744,245,218,9,3,726.2739843708034
2024.07.08,Leonardo DiCaprio,FULL TRAINING,01:46:00,6592,639,92,92,147,296,410,30,0,649.8907243207532
2024-10-11,Gerard Butler,FULL TRAINING,00:47:00,5455,802,94,93,154,252,208,13,29,599.1158235851883
2024-08-19,Mark Wahlberg,FULL TRAINING,00:40:00,2544,160,159,69,229,262,285,4,13,229.40856069909654
2024.09.11,Chris Hemsworth,FULL TRAINING,00:36:00,2296,580,403,223,626,150,0,10,0,226.30336114449364
2025-05-02,Jason Momoa,FULL TRAINING,01:06:00,9836,2589,113,113,149,298,320,10,27,978.7885494908483
2024-11-02,Jason Momoa,OFFICIAL MATCH,01:31:00,9306,1048,1048,489,1537,277,285,27,209,1105.4492837087887
2024.11.29,Jamie Foxx,FULL TRAINING,01:12:00,8521,644,329,22,352,338,264,8,36,0.0
2024-07-21,Chris Hemsworth,FULL TRAINING,01:28:00,2307,564,159,44,204,268,320,12,6,675.2542011363557
2025.04.26,Mark Wahlberg,OFFICIAL MATCH,01:31:00,10512,1863,956,881,1837,569,599,23,97,1336.4745550516836
2024-10-15,Cristiano Ronaldo,FULL TRAINING,00:59:00,2033,316,252,93,346,269,167,14,19,567.5897462659598
2025-03-25,Robert Downey Jr.,FULL TRAINING,01:23:00,7707,771,82,49,131,280,186,13,14,435.4291289638832
2024-11-20,John Cena,FULL TRAINING,01:21:00,6648,781,780,56,837,169,40,13,8,494.2922705097536
2024-10-18,Chris Hemsworth,FULL TRAINING,01:14:00,6838,1239,1238,40,1279,207,271,24,10,395.5233488215441
2024-09-11,Mark Wahlberg,FULL TRAINING,00:21:00,6742,624,223,27,251,347,316,8,8,659.9376478126068
2024-10-25,Robert Downey Jr.,FULL TRAINING,00:42:00,4332,2194,126,0,127,213,319,13,4,809.1946020302413
2025-01-07,Ryan Reynolds,FULL TRAINING,01:44:00,5299,770,350,17,368,292,306,16,9,876.7222487260568
2024-08-29,George Clooney,FULL TRAINING,01:18:00,6511,714,331,3,335,301,329,36,11,1108.9004842905263
2025-01-08,Jason Momoa,FULL TRAINING,01:41:00,7074,1050,102,15,118,140,0,10,0,988.6878548757459
2024-10-18,Adam Sandler,FULL TRAINING,00:44:00,9134,462,273,11,284,204,248,9,4,478.4113282462537
2024-11-29,Usain Bolt,FULL TRAINING,01:07:00,4437,587,438,11,449,175,233,35,46,123.795844730091
2025-03-31,Mark Wahlberg,FULL TRAINING,01:03:00,5198,451,182,6,188,361,339,13,14,421.69962524344754
2024-09-14,Chris Hemsworth,OFFICIAL MATCH,01:34:00,9945,2012,349,263,613,417,376,25,52,826.2653518298773
2025.01.17,Adam Sandler,FULL TRAINING,02:22:00,13702,319,46,17,64,245,424,22,18,556.1059126884704
2024-09-22,Vin Diesel,OFFICIAL MATCH,01:32:00,11815,1851,559,94,654,290,257,79,104,1138.404797317063
2024-09-16,Leonardo DiCaprio,FULL TRAINING,00:43:00,0,819,819,16,835,255,238,11,12,336.9533637555201
2024.08.14,Robert Downey Jr.,FULL TRAINING,01:20:00,6845,2003,216,191,408,184,160,20,113,306.6746911492421
2025-02-10,Ryan Reynolds,FULL TRAINING,01:04:00,3799,420,146,11,158,226,287,7,92,518.1156892084033
2025-05-05,George Clooney,FULL TRAINING,00:48:00,0,343,115,18,134,235,225,12,7,847.9201971149765
2025-03-18,Mark Wahlberg,FULL TRAINING,01:20:00,5767,553,116,26,142,229,216,20,17,579.884715280901
2024-09-24,George Clooney,FULL TRAINING,00:48:00,6413,724,66,8,74,149,247,19,48,619.1791853675298
2025.04.22,Adam Sandler,FULL TRAINING,01:29:00,10820,929,43,42,80,284,407,30,86,681.9573794063373
2025-01-23,Jason Momoa,FULL TRAINING,02:04:00,10511,332,90,19,110,194,67,11,7,929.1856161944522
2024-09-11,Jason Momoa,FULL TRAINING,00:30:00,4985,399,317,35,353,325,425,31,10,239.09545591837076
2025-01-21,John Cena,FULL TRAINING,02:06:00,8846,395,395,198,593,455,476,14,2,605.2029623313317
2025-02-14,Robert Downey Jr.,FULL TRAINING,00:49:00,8157,659,83,5,89,347,421,21,8,676.3949662227436
2024.11.16,Vin Diesel,OFFICIAL MATCH,00:59:00,7860,2150,666,182,849,250,0,12,0,1493.2343636475148
2024-06-27,Ryan Reynolds,FULL TRAINING,01:40:00,11553,268,118,23,141,258,109,19,17,989.0632209894768
2025-04-11,Gerard Butler,FULL TRAINING,01:11:00,3681,1092,310,9,320,300,303,20,9,539.1539857918989
2024.09.17,Mark Wahlberg,FULL TRAINING,01:04:00,4699,402,100,18,119,207,220,52,12,519.0462218207668
2024-08-23,Jamie Foxx,FULL TRAINING,00:54:00,8581,471,471,15,486,212,161,9,3,799.1529348614878
2024.07.27,Jamie Foxx,OFFICIAL MATCH,01:36:00,10111,2046,351,228,580,748,742,47,12,1419.5268640774473
2025-01-02,John Cena,FULL TRAINING,01:45:00,12397,1015,1014,219,1234,501,621,44,14,210.22162860967262
2025-04-30,Jason Momoa,FULL TRAINING,01:39:00,7505,760,154,11,166,310,323,61,15,525.8338351920005
2025.02.18,Cristiano Ronaldo,FULL TRAINING,01:43:00,4670,292,82,15,97,291,312,10,44,560.3100032705612
2024-08-09,Robert Downey Jr.,FULL TRAINING,00:49:00,4071,317,155,1,157,101,90,7,0,540.7184977563388
2025.02.13,Jamie Foxx,FULL TRAINING,01:33:00,4746,422,124,23,148,225,186,19,8,523.059220382206
2024-07-21,Ryan Reynolds,FULL TRAINING,01:25:00,7300,495,265,43,308,399,340,8,7,593.4939592854414
2025-03-04,Adam Sandler,FULL TRAINING,01:49:00,12922,1037,255,14,269,263,291,22,41,974.7945854532535
2025-02-04,Jason Momoa,FULL TRAINING,00:54:00,5230,941,192,7,200,280,203,38,31,450.24742530966955
2024-07-17,Usain Bolt,FULL TRAINING,01:20:00,3836,363,194,71,265,193,56,13,9,231.1607337748418
2024-11-26,Mark Wahlberg,FULL TRAINING,00:48:00,0,522,85,2,87,154,291,31,7,462.178475750624
2024.11.15,Gerard Butler,FULL TRAINING,01:43:00,6748,482,109,7,117,194,355,12,24,413.24118900796446
2024-10-03,Ryan Reynolds,FULL TRAINING,01:16:00,5618,332,129,24,153,193,193,9,49,759.6307144219794
2024-09-19,Cristiano Ronaldo,FULL TRAINING,00:50:00,6365,350,114,4,119,243,228,22,7,718.0887399941452
2025-02-03,Robert Downey Jr.,FULL TRAINING,01:59:00,7192,1110,582,77,659,325,316,10,47,430.97796633630725
2025.02.08,Mark Wahlberg,OFFICIAL MATCH,01:33:00,10503,1565,482,62,545,690,871,35,143,1181.00607569139
2024.07.07,George Clooney,FULL TRAINING,01:14:00,5327,657,77,76,148,157,175,4,11,795.4689202106075
2024.11.26,Adam Sandler,FULL TRAINING,00:53:00,4091,308,308,0,309,317,327,7,32,492.1873495200342
2024.09.12,George Clooney,FULL TRAINING,00:56:00,7374,445,54,25,80,216,257,31,9,671.2342874847825
2024-08-01,Chris Hemsworth,FULL TRAINING,00:52:00,4578,477,49,6,55,299,366,11,7,623.213639167931
2025.05.05,Leonardo DiCaprio,FULL TRAINING,01:49:00,8760,343,290,22,312,279,408,8,4,658.5268177898995
2024-06-23,Justin Timberlake,OFFICIAL MATCH,01:30:00,9835,1906,561,453,1014,309,418,35,155,1186.026798557723
2025-02-28,Adam Sandler,FULL TRAINING,01:31:00,9862,142,106,18,125,313,378,25,4,593.0024133705349
2024-08-23,Leonardo DiCaprio,FULL TRAINING,00:49:00,2925,1016,269,12,281,92,43,12,16,592.6290215689114
2024-07-13,George Clooney,OFFICIAL MATCH,01:05:00,8625,2082,848,847,1303,583,478,11,59,1282.8632547900324
2024.09.11,Adam Sandler,FULL TRAINING,00:50:00,4788,534,227,226,327,161,153,13,23,440.7846034380734
2024-07-16,Ryan Reynolds,FULL TRAINING,01:29:00,10415,647,203,119,323,211,223,21,2,418.967529823521
2025-04-05,Gerard Butler,OFFICIAL MATCH,01:34:00,11134,1324,497,497,922,569,596,93,10,1401.7424008922605
2025-05-21,Gerard Butler,FULL TRAINING,01:23:00,1383,882,188,83,271,200,238,27,93,602.8914289800744
2025-04-09,Gerard Butler,FULL TRAINING,01:13:00,4617,1033,111,57,169,280,297,19,92,1211.0177352347073
2024-07-29,Justin Timberlake,FULL TRAINING,01:03:00,5120,847,257,20,277,392,306,5,1,523.3787418236918
2024-08-03,Jamie Foxx,OFFICIAL MATCH,01:30:00,10530,1831,309,272,581,394,374,20,43,980.8777884876371
2024-09-26,Mark Wahlberg,FULL TRAINING,01:12:00,1878,371,195,70,265,301,361,17,8,632.1084069845123
2025-04-03,Ryan Reynolds,FULL TRAINING,01:15:00,5240,985,123,122,239,289,207,24,56,537.1397191654946
2025-02-19,Ryan Reynolds,FULL TRAINING,01:44:00,6554,1039,217,33,250,228,210,13,38,831.3602233532622
2025-03-31,Leonardo DiCaprio,FULL TRAINING,01:05:00,3299,514,514,6,520,244,288,8,12,1044.1829385610815
2025-05-15,Gerard Butler,FULL TRAINING,01:41:00,6745,974,238,12,250,400,473,25,28,1105.4920962838196
2024-08-27,Leonardo DiCaprio,FULL TRAINING,01:01:00,2670,382,193,22,215,266,277,74,4,206.50050274421903
2025.04.10,Mark Wahlberg,FULL TRAINING,02:14:00,10748,456,243,119,362,351,497,18,4,988.2745819866823
2025-02-05,Adam Sandler,FULL TRAINING,01:23:00,5664,452,361,360,468,247,234,35,7,925.964718200684
2024-10-23,Gerard Butler,FULL TRAINING,00:50:00,2509,1496,69,8,77,226,225,3,21,929.0579874839148
2024-07-21,Mark Wahlberg,FULL TRAINING,01:31:00,7246,223,128,33,162,95,90,13,9,592.6065703042639
2025.04.28,Jamie Foxx,FULL TRAINING,01:54:00,14551,1029,162,5,168,365,437,13,8,365.7112032597031
2025-05-24,John Cena,OFFICIAL MATCH,01:02:00,7934,1807,500,241,742,352,374,20,374,1594.4216662870576
2025-02-22,Adam Sandler,OFFICIAL MATCH,01:13:00,7743,1612,784,619,1404,494,532,36,198,1088.3705628431876
2024-07-14,Ryan Reynolds,FULL TRAINING,01:28:00,8390,321,131,12,143,421,429,11,9,606.8406949036727
2025.04.25,Usain Bolt,FULL TRAINING,01:59:00,7839,458,290,289,434,355,451,26,10,605.8239935907188
2024.12.12,Robert Downey Jr.,FULL TRAINING,00:47:00,4961,452,452,4,456,259,287,30,25,355.4177219859712
2024.12.02,George Clooney,FULL TRAINING,01:17:00,1883,1223,30,13,44,131,236,11,10,536.2631513284693
2025-01-31,Leonardo DiCaprio,FULL TRAINING,00:47:00,2670,991,991,14,1005,211,244,11,1,892.2768306503078
2024-06-16,Leonardo DiCaprio,FULL TRAINING,00:59:00,3850,335,164,17,182,329,287,40,14,497.16979983132023
2024-08-22,Justin Timberlake,FULL TRAINING,01:39:00,8951,250,85,62,148,305,426,6,36,346.16137666370867
2024-08-26,Cristiano Ronaldo,FULL TRAINING,01:29:00,7944,785,784,81,865,186,166,6,27,612.4778960643289
2025-05-23,John Cena,FULL TRAINING,01:12:00,4565,287,216,11,227,311,300,11,9,767.3284765041801
2025.04.08,Jason Momoa,FULL TRAINING,00:53:00,5572,684,191,10,201,272,251,62,25,396.0785278943194
2024.12.07,Leonardo DiCaprio,OFFICIAL MATCH,01:44:00,11826,1338,618,66,685,392,394,25,46,1178.9136490837966
2024.12.05,Justin Timberlake,FULL TRAINING,01:26:00,6110,908,78,78,118,238,266,1,4,693.9983111235301
2025-04-02,Chris Hemsworth,FULL TRAINING,01:31:00,6726,1627,232,14,246,277,154,32,40,484.60715415840764
2024-11-27,Jason Momoa,FULL TRAINING,01:18:00,8067,104,70,69,105,86,53,18,7,847.8525981351836
2024-10-08,Ryan Reynolds,FULL TRAINING,00:53:00,6966,589,82,4,87,223,153,31,1,415.1077824711933
2025.04.14,Vin Diesel,FULL TRAINING,01:12:00,7440,899,174,29,204,458,556,21,5,1089.1566306063364
2025-03-18,George Clooney,FULL TRAINING,01:27:00,6993,475,119,44,164,136,162,13,12,482.7157897852636
2025-01-06,Adam Sandler,FULL TRAINING,01:59:00,8802,425,100,17,117,313,289,24,10,598.3131485713101
2024-11-07,Robert Downey Jr.,FULL TRAINING,00:59:00,6119,889,177,57,234,325,211,4,85,1062.4264393321107
2025-03-31,Robert Downey Jr.,FULL TRAINING,01:41:00,7070,982,49,16,65,249,238,23,22,930.6522035086963
2025-02-05,George Clooney,FULL TRAINING,01:42:00,9374,2701,161,68,229,273,470,8,27,844.7038486511035
2024-08-31,Justin Timberlake,OFFICIAL MATCH,01:09:00,6901,1266,543,542,927,447,415,19,68,1212.1378948332044
2025-01-29,Usain Bolt,FULL TRAINING,02:05:00,9421,1089,104,76,181,244,292,19,15,631.2393302690051
2025-03-01,Usain Bolt,OFFICIAL MATCH,01:26:00,9660,1194,411,130,542,655,814,13,116,1287.0709482906236
2025-01-15,Adam Sandler,FULL TRAINING,01:44:00,10646,1645,142,96,239,240,344,15,12,370.1489701014191
2024-10-31,George Clooney,FULL TRAINING,01:15:00,6751,533,118,14,133,210,253,8,3,315.3437682825909
2024-07-06,Jamie Foxx,OFFICIAL MATCH,01:38:00,9730,1657,936,267,1203,268,90,40,90,1592.5165498002948
2024-08-20,Justin Timberlake,FULL TRAINING,01:37:00,6388,590,105,14,120,295,284,14,7,532.539573163671
2024-09-25,Chris Hemsworth,FULL TRAINING,01:29:00,7483,247,129,52,181,269,246,7,8,793.3634661274124
2024-12-02,Justin Timberlake,FULL TRAINING,01:12:00,6609,796,224,224,368,214,295,7,3,359.69398445391437
2024-07-17,Ryan Reynolds,FULL TRAINING,00:42:00,0,365,77,74,152,333,191,49,4,589.8741070037829
2024.06.19,Vin Diesel,FULL TRAINING,01:24:00,8967,1068,221,113,335,295,232,31,6,425.5792866755428
2025-02-12,Jamie Foxx,FULL TRAINING,01:47:00,5820,681,174,3,177,324,148,18,148,685.4938417205698
2024-10-11,Adam Sandler,FULL TRAINING,01:11:00,2671,475,84,3,87,287,282,33,88,342.0128637211944
2024-12-14,Adam Sandler,OFFICIAL MATCH,01:01:00,8404,1675,434,224,659,522,763,14,75,783.5318653828832
2025-05-15,Robert Downey Jr.,FULL TRAINING,01:38:00,6124,440,131,14,145,86,98,10,6,368.2572023094735
2025-01-03,Vin Diesel,FULL TRAINING,01:37:00,5025,584,352,38,391,369,272,18,44,539.538662993576
2024.07.21,Robert Downey Jr.,FULL TRAINING,01:34:00,8793,433,176,22,199,136,181,13,7,781.6876835439634
2024-10-21,George Clooney,FULL TRAINING,01:39:00,3341,1033,48,18,66,177,226,6,16,340.44565807498094
2024-12-03,Vin Diesel,FULL TRAINING,00:33:00,4551,1598,96,5,101,132,101,2,44,259.3943397135684
2025.01.06,Ryan Reynolds,FULL TRAINING,01:42:00,8679,1079,1078,32,1111,280,301,13,10,527.7054711119234
2024.08.27,Robert Downey Jr.,FULL TRAINING,01:11:00,8250,355,175,2,178,233,277,4,35,427.3525950143717
2025-04-16,John Cena,FULL TRAINING,01:48:00,8134,336,73,62,135,328,408,21,13,754.4952000854
2025-01-05,Justin Timberlake,OFFICIAL MATCH,01:35:00,10513,1287,595,123,719,510,495,20,147,1429.6615513664847
2025-01-06,Jason Momoa,FULL TRAINING,02:22:00,13740,541,330,140,471,339,347,12,8,1000.7988604043602
2025-03-28,Jamie Foxx,FULL TRAINING,02:03:00,8240,540,320,88,408,357,388,16,57,294.2435998517611
2025-03-06,Mark Wahlberg,FULL TRAINING,00:30:00,3138,517,101,32,134,211,423,26,11,627.135920304766
2025-04-17,Usain Bolt,FULL TRAINING,01:34:00,4661,313,195,10,206,197,217,22,13,622.4247844468092
2025.04.23,Leonardo DiCaprio,FULL TRAINING,00:50:00,4329,602,130,33,164,286,324,16,16,627.7134069662944
2025-05-07,Adam Sandler,FULL TRAINING,01:29:00,7831,1456,806,82,888,344,417,35,24,755.2416198764316
2024-07-04,Jamie Foxx,FULL TRAINING,01:43:00,4122,635,634,5,639,390,338,13,13,562.8194062754926
2024-09-12,Cristiano Ronaldo,FULL TRAINING,01:26:00,9425,324,221,12,234,201,54,8,18,857.3082504792985
2024-07-02,Jamie Foxx,FULL TRAINING,01:41:00,8246,261,81,63,145,309,280,18,26,756.4220859106699
2025-02-24,George Clooney,FULL TRAINING,01:47:00,11154,1017,1016,191,1208,240,205,19,19,644.2962615803876
2025.04.05,Jason Momoa,OFFICIAL MATCH,01:10:00,7489,1357,512,338,850,421,472,16,59,1396.0525326740592
2025-05-08,Leonardo DiCaprio,FULL TRAINING,01:02:00,8927,407,38,33,72,272,311,9,23,1007.5414152869795
2025-03-18,Gerard Butler,FULL TRAINING,02:01:00,9227,607,146,76,223,252,187,36,1,966.0240826527959
2024-07-21,Justin Timberlake,FULL TRAINING,01:09:00,9634,367,366,91,458,225,171,13,5,640.9123279690195
2024-08-30,Mark Wahlberg,FULL TRAINING,01:34:00,4628,516,248,7,256,345,583,14,6,686.9379562349756
2025.02.01,Gerard Butler,OFFICIAL MATCH,01:02:00,9395,1911,569,179,748,634,436,33,34,1009.5437887619438
2024-06-27,Vin Diesel,FULL TRAINING,01:05:00,7306,162,167,167,303,202,302,13,1,500.8327169585772
2024-07-20,Robert Downey Jr.,OFFICIAL MATCH,01:32:00,9570,1812,982,398,1380,530,335,52,57,910.4080080994672
2024-06-15,Chris Hemsworth,OFFICIAL MATCH,01:13:00,7380,1820,830,483,1314,569,717,83,46,952.8064434939415
2024-10-07,Leonardo DiCaprio,FULL TRAINING,01:19:00,3254,602,174,9,184,333,362,18,10,367.5383293916625
2024-12-13,Jamie Foxx,FULL TRAINING,01:27:00,7788,187,186,72,258,282,334,37,45,278.9076139824025
2024.11.07,Cristiano Ronaldo,FULL TRAINING,01:31:00,8987,199,53,52,60,141,212,8,45,611.9094627965269
2024-07-17,Jamie Foxx,FULL TRAINING,00:57:00,3933,1617,271,53,325,325,234,11,6,601.8398557126703
2024-09-13,Justin Timberlake,FULL TRAINING,01:06:00,4091,1519,119,1,121,321,380,10,4,621.1761657308273
2024-08-26,Robert Downey Jr.,FULL TRAINING,01:06:00,1112,884,883,10,893,13,0,13,0,705.5154216670282
2024-07-25,Leonardo DiCaprio,FULL TRAINING,01:22:00,4726,297,147,61,208,392,412,9,12,318.3890709368242
2025.01.01,Mark Wahlberg,FULL TRAINING,02:01:00,8786,323,158,29,188,278,326,21,13,470.7969518733881
2025-05-01,Vin Diesel,FULL TRAINING,01:26:00,4835,305,188,2,191,331,379,15,8,825.1471386242029
2025.03.19,Adam Sandler,FULL TRAINING,00:56:00,5778,423,145,55,201,353,402,8,17,885.8584990566601
2024-07-03,Mark Wahlberg,FULL TRAINING,01:22:00,7553,339,203,5,209,334,276,45,33,861.1772609404503
2024-07-30,Chris Hemsworth,FULL TRAINING,01:09:00,3959,658,68,68,128,207,138,18,6,846.2458823126956
2024-08-08,Justin Timberlake,FULL TRAINING,01:23:00,6279,456,201,7,209,268,430,3,14,803.6372872365048
2024-07-03,Chris Hemsworth,FULL TRAINING,00:53:00,5161,994,455,455,878,342,186,47,2,809.6219741877928
2025-04-18,John Cena,FULL TRAINING,01:27:00,8711,911,277,125,403,196,213,7,25,514.6561078532338
2025-05-02,Chris Hemsworth,FULL TRAINING,01:22:00,5684,215,182,28,210,193,259,15,1,526.1724994080987
2024-07-03,Leonardo DiCaprio,FULL TRAINING,01:19:00,2593,628,70,17,88,302,389,16,13,763.446814351403
2024-09-20,Gerard Butler,FULL TRAINING,01:23:00,6357,1180,1179,5,1185,398,303,4,5,568.7801140588524
2024-11-23,George Clooney,OFFICIAL MATCH,01:38:00,12770,1534,384,304,688,436,188,17,10,790.9899707960176
2025-03-27,Usain Bolt,FULL TRAINING,01:18:00,6410,2109,67,52,119,271,207,16,8,281.2748559841657
2025-02-22,George Clooney,OFFICIAL MATCH,01:40:00,10617,1914,625,232,857,589,550,69,20,1532.9256194359182
2024-09-13,Chris Hemsworth,FULL TRAINING,00:54:00,3935,577,289,3,293,86,0,15,0,545.8381292068182
2025-01-22,Justin Timberlake,FULL TRAINING,01:29:00,4794,574,335,11,347,403,481,18,61,889.6705874596547
2025-02-27,Gerard Butler,FULL TRAINING,00:53:00,274,544,247,5,252,391,276,9,12,1079.6322396036044
2024-10-19,Jason Momoa,OFFICIAL MATCH,01:34:00,10344,1517,689,137,827,417,438,43,63,1264.3798759403815
2025.01.31,Adam Sandler,FULL TRAINING,01:03:00,5177,322,148,1,149,178,146,27,2,549.5946369795316
2025-02-08,George Clooney,OFFICIAL MATCH,01:33:00,9199,1479,1088,682,1771,397,395,21,22,970.4387474927726
2024.08.08,Jason Momoa,FULL TRAINING,01:08:00,5054,300,116,116,184,249,221,5,10,186.78060427249642
2024-11-28,Vin Diesel,FULL TRAINING,00:53:00,1908,302,301,52,353,161,212,2,9,364.4153022809602
2024.10.23,John Cena,FULL TRAINING,01:11:00,2782,489,488,19,507,120,210,10,25,458.2221348347474
2024-09-02,Robert Downey Jr.,FULL TRAINING,00:56:00,3127,1674,72,27,99,75,55,12,10,237.85854306666448
2025-04-23,Ryan Reynolds,FULL TRAINING,01:42:00,7679,484,158,67,225,291,234,39,5,735.6699524282322
2024-10-08,Gerard Butler,FULL TRAINING,00:28:00,4959,261,183,5,188,137,162,7,21,395.0387542076054
2024-12-11,Chris Hemsworth,FULL TRAINING,00:59:00,4139,532,101,95,197,96,193,8,8,697.051615051673
2024.09.07,Jason Momoa,OFFICIAL MATCH,01:41:00,13103,1286,524,96,620,587,590,22,4,1314.844034253832
2025-02-24,Leonardo DiCaprio,FULL TRAINING,00:53:00,6975,1125,136,54,191,301,420,8,46,484.4903345879003
2025.04.17,Gerard Butler,FULL TRAINING,01:19:00,8059,792,506,54,561,298,476,19,2,269.5592817687167
2024-10-10,Jamie Foxx,FULL TRAINING,00:58:00,4897,1334,1333,35,1369,307,232,4,29,719.9088281356767
2024-06-26,Jamie Foxx,FULL TRAINING,01:09:00,9287,502,781,780,1084,239,320,17,12,873.9418626312888
2025-02-12,Leonardo DiCaprio,FULL TRAINING,01:50:00,5365,1642,203,15,219,181,192,13,73,537.6318439986038
2024-10-29,Usain Bolt,FULL TRAINING,00:51:00,5816,611,610,19,629,209,399,19,40,619.3075137148527
2024-07-14,John Cena,FULL TRAINING,01:48:00,8067,768,101,12,113,220,245,16,5,550.4957511430393
2025-04-15,Gerard Butler,FULL TRAINING,01:02:00,8161,1284,532,28,560,332,209,10,32,574.111790316344
2024-11-11,Gerard Butler,FULL TRAINING,01:13:00,4425,627,627,63,691,141,206,2,19,643.5817067716547
2025-03-12,Jamie Foxx,FULL TRAINING,00:57:00,6452,779,281,63,345,276,297,23,65,940.2097898192412
2025-05-03,Chris Hemsworth,OFFICIAL MATCH,01:20:00,6677,2725,824,207,1031,618,410,19,92,1162.4265693309517
2025-02-10,Jason Momoa,FULL TRAINING,01:26:00,4189,1407,142,20,162,410,439,29,13,928.9753323687919
2024.09.20,Adam Sandler,FULL TRAINING,01:17:00,9173,345,163,38,201,265,165,6,16,337.5374931759853
2025-03-24,Robert Downey Jr.,FULL TRAINING,01:37:00,7304,650,95,32,127,235,249,12,67,703.8766536763975
2024-11-23,Justin Timberlake,OFFICIAL MATCH,01:38:00,10333,1119,579,378,958,440,653,23,7,1526.8503655750987
2024-09-04,Vin Diesel,FULL TRAINING,00:29:00,0,400,41,41,55,285,258,26,11,0.0
2024-07-23,Adam Sandler,FULL TRAINING,00:43:00,964,1767,115,22,137,296,288,10,19,883.8513675963683
2025.02.04,Mark Wahlberg,FULL TRAINING,01:44:00,8788,606,155,39,194,372,546,50,16,1115.574477293213
2025-03-24,Cristiano Ronaldo,FULL TRAINING,01:19:00,6240,737,189,64,253,256,240,24,33,953.3072282902042
2024-08-15,John Cena,FULL TRAINING,01:26:00,4552,804,164,164,226,197,91,32,3,885.0821816312872
2025-02-25,Justin Timberlake,FULL TRAINING,01:18:00,4859,464,276,55,331,201,278,11,10,90.47162012410263
2025-05-07,Jamie Foxx,FULL TRAINING,01:52:00,11738,1350,340,4,345,127,185,9,25,527.4593976733065
2024.07.17,Jason Momoa,FULL TRAINING,01:22:00,5898,451,89,47,137,286,385,18,7,979.4321360163042
2025-01-01,Jason Momoa,FULL TRAINING,02:10:00,10575,1400,131,59,190,327,192,14,35,1128.0217285460067
2024.07.05,Gerard Butler,FULL TRAINING,01:18:00,7256,542,280,8,289,276,305,19,3,607.676794844888
2024-10-30,Cristiano Ronaldo,FULL TRAINING,01:12:00,8471,531,112,17,129,211,144,11,11,370.91852833560506
2025-02-28,Justin Timberlake,FULL TRAINING,02:01:00,11250,449,199,34,233,238,221,30,4,837.3318440078696
2024.06.26,Justin Timberlake,FULL TRAINING,01:18:00,5888,354,110,7,117,173,159,7,42,421.723245556714
2024-07-14,Chris Hemsworth,FULL TRAINING,01:23:00,6622,4572,140,58,198,353,272,20,4,863.9759122904309
2024-12-11,Justin Timberlake,FULL TRAINING,01:10:00,4803,458,124,30,154,238,400,40,1,868.7198119008647
2024.08.17,Leonardo DiCaprio,OFFICIAL MATCH,01:19:00,9992,1279,780,648,1428,504,442,40,64,374.84733351124726
2025-01-03,Jason Momoa,FULL TRAINING,01:34:00,5679,471,318,21,339,185,164,31,32,1066.4621315868715
2025-02-07,John Cena,FULL TRAINING,01:28:00,9150,437,240,6,247,187,54,12,34,892.1902775107616
2025-01-22,Jamie Foxx,FULL TRAINING,01:44:00,9052,678,78,60,139,276,204,25,3,299.2194333199785
2025.04.03,Justin Timberlake,FULL TRAINING,01:19:00,9132,1097,144,23,167,233,221,17,27,646.8178455995095
2024-07-14,Usain Bolt,FULL TRAINING,01:22:00,5786,765,765,38,803,340,282,9,59,573.244797199398
2024-11-05,John Cena,FULL TRAINING,01:18:00,10977,396,1445,1445,1557,312,203,28,36,654.6879722892223
2024-07-10,Adam Sandler,FULL TRAINING,01:40:00,10411,640,106,39,145,273,249,43,7,890.7330677242448
2024-07-22,Jamie Foxx,FULL TRAINING,01:16:00,6799,713,359,49,408,261,295,8,29,480.55506055752414
2024-10-13,Justin Timberlake,OFFICIAL MATCH,01:38:00,11133,1513,412,368,781,327,323,28,8,897.801795975148
2025-01-25,Leonardo DiCaprio,OFFICIAL MATCH,01:39:00,10964,1637,886,624,1511,599,616,30,19,1103.2747730343203
2025-02-05,Jamie Foxx,FULL TRAINING,01:38:00,5266,547,159,75,235,295,206,12,23,1281.608275441366
2024-08-22,Mark Wahlberg,FULL TRAINING,02:04:00,6617,316,72,31,104,219,215,34,24,416.7389495203907
2024-11-15,Ryan Reynolds,FULL TRAINING,01:34:00,7156,87,33,32,47,284,297,23,1,669.9684030444508
2025-02-06,Justin Timberlake,FULL TRAINING,01:10:00,4748,398,304,51,356,332,462,16,23,335.3206008885072
2024-08-24,Gerard Butler,OFFICIAL MATCH,01:44:00,11700,1061,453,453,859,450,493,18,109,1312.0060581613
2024-12-13,Vin Diesel,FULL TRAINING,01:09:00,8959,695,76,9,85,326,254,8,12,852.3325300347948
2025.04.17,George Clooney,FULL TRAINING,01:28:00,5278,1301,179,15,194,336,436,18,26,748.4251177684847
2024-10-22,Gerard Butler,FULL TRAINING,01:08:00,977,1605,123,0,124,206,122,11,122,708.6496800578071
